index,Date,Bitcoin,XRP,Crypto,BTC_Price,XRP_Price
0,2020-12-25,28,6,3,24664.791015625,0.3180910050868988
1,2020-12-26,39,4,3,26437.037109375,0.29471299052238464
2,2020-12-27,51,4,4,26272.294921875,0.28303900361061096
3,2020-12-28,42,4,3,27084.80859375,0.2479580044746399
4,2020-12-29,36,10,4,27362.4375,0.22096200287342072
5,2020-12-30,40,6,4,28840.953125,0.21182799339294434
6,2020-12-31,41,4,4,29001.720703125,0.2198459953069687
7,2021-01-01,41,4,4,29374.15234375,0.23744399845600128
8,2021-01-02,68,4,6,32127.267578125,0.2216549962759018
9,2021-01-03,79,4,7,32782.0234375,0.2258480042219162
10,2021-01-04,65,4,6,31971.9140625,0.23667700588703156
11,2021-01-05,55,3,6,33992.4296875,0.22675000131130219
12,2021-01-06,60,4,7,36824.36328125,0.2508949935436249
13,2021-01-07,90,7,8,39371.04296875,0.32600200176239014
14,2021-01-08,91,4,7,40797.609375,0.32322999835014343
15,2021-01-09,71,3,7,40254.546875,0.32691600918769836
16,2021-01-10,69,3,8,38356.44140625,0.31833600997924805
17,2021-01-11,100,3,7,35566.65625,0.28890499472618103
18,2021-01-12,74,2,5,33922.9609375,0.2921229898929596
19,2021-01-13,67,2,5,37316.359375,0.3055799901485443
20,2021-01-14,69,3,6,39187.328125,0.2954379916191101
21,2021-01-15,59,2,5,36825.3671875,0.28040599822998047
22,2021-01-16,48,2,6,36178.140625,0.2801879942417145
23,2021-01-17,45,2,6,35791.27734375,0.2773840129375458
24,2021-01-18,43,2,5,36630.07421875,0.2847689986228943
25,2021-01-19,42,3,6,36069.8046875,0.2943139970302582
26,2021-01-20,41,2,5,35547.75,0.2965179979801178
27,2021-01-21,52,2,5,30825.69921875,0.26894599199295044
28,2021-01-22,53,2,5,33005.76171875,0.27279898524284363
29,2021-01-23,39,2,5,32067.642578125,0.271820992231369
30,2021-01-24,36,2,5,32289.37890625,0.2735089957714081
31,2021-01-25,38,2,5,32366.392578125,0.269089013338089
32,2021-01-26,34,2,4,32569.849609375,0.26882699131965637
33,2021-01-27,40,2,5,30432.546875,0.2519429922103882
34,2021-01-28,38,2,7,33466.09765625,0.26412200927734375
35,2021-01-29,64,2,16,34316.38671875,0.2821879982948303
36,2021-01-30,43,9,10,34269.5234375,0.44024398922920227
37,2021-01-31,37,14,10,33114.359375,0.49231401085853577
38,2021-02-01,39,21,9,33537.17578125,0.37150898575782776
39,2021-02-02,35,7,8,35510.2890625,0.369269996881485
40,2021-02-03,35,4,8,37472.08984375,0.3934899866580963
41,2021-02-04,38,5,10,36926.06640625,0.44644901156425476
42,2021-02-05,36,4,11,38144.30859375,0.45004698634147644
43,2021-02-06,43,3,10,39266.01171875,0.43909600377082825
44,2021-02-07,38,3,11,38903.44140625,0.41795799136161804
45,2021-02-08,84,3,12,46196.46484375,0.44770199060440063
46,2021-02-09,99,4,13,46481.10546875,0.47199100255966187
47,2021-02-10,63,4,12,44918.18359375,0.503445029258728
48,2021-02-11,63,4,13,47909.33203125,0.5247870087623596
49,2021-02-12,58,5,13,47504.8515625,0.6085919737815857
50,2021-02-13,48,5,13,47105.515625,0.6289960145950317
51,2021-02-14,54,5,12,48717.2890625,0.5941929817199707
52,2021-02-15,52,4,11,47945.05859375,0.5489150285720825
53,2021-02-16,60,4,10,49199.87109375,0.5208460092544556
54,2021-02-17,66,4,10,52149.0078125,0.5355370044708252
55,2021-02-18,61,3,11,51679.796875,0.5324329733848572
56,2021-02-19,68,4,13,55888.1328125,0.567018985748291
57,2021-02-20,74,4,14,56099.51953125,0.5175120234489441
58,2021-02-21,69,4,13,57539.9453125,0.5485600233078003
59,2021-02-22,76,10,13,54207.3203125,0.571740984916687
60,2021-02-23,93,5,13,48824.42578125,0.47356298565864563
61,2021-02-24,72,3,10,49705.33203125,0.4718320071697235
62,2021-02-25,60,2,9,47093.8515625,0.4345239996910095
63,2021-02-26,61,2,8,46339.76171875,0.4278999865055084
64,2021-02-27,46,2,9,46188.453125,0.4378089904785156
